date,name,value
23-03-2020,SANTA CRUZ,1
23-03-2020,MISIONES,1
23-03-2020,SANTIAGO DEL ESTERO,1
23-03-2020,SAN LUIS,1
23-03-2020,JUJUY,1
23-03-2020,SALTA,1
23-03-2020,NEUQUÉN,2
23-03-2020,CHUBUT,2
23-03-2020,CORRIENTES,3
23-03-2020,ENTRE RÍOS,3
23-03-2020,RÍO NEGRO,4
23-03-2020,MENDOZA,5
23-03-2020,TIERRA DEL FUEGO,6
23-03-2020,TUCUMÁN,7
23-03-2020,SANTA FE,17
23-03-2020,CÓRDOBA,27
23-03-2020,CHACO,31
23-03-2020,BUENOS AIRES,72
23-03-2020,CABA,117
24-03-2020,MISIONES,1
24-03-2020,SANTIAGO DEL ESTERO,1
24-03-2020,SAN LUIS,1
24-03-2020,JUJUY,1
24-03-2020,LA PAMPA,1
24-03-2020,SALTA,1
24-03-2020,SANTA CRUZ,2
24-03-2020,CHUBUT,2
24-03-2020,NEUQUÉN,3
24-03-2020,CORRIENTES,3
24-03-2020,ENTRE RÍOS,3
24-03-2020,RÍO NEGRO,4
24-03-2020,MENDOZA,5
24-03-2020,TUCUMÁN,7
24-03-2020,TIERRA DEL FUEGO,9
24-03-2020,SANTA FE,20
24-03-2020,CÓRDOBA,34
24-03-2020,CHACO,40
24-03-2020,BUENOS AIRES,101
24-03-2020,CABA,146
25-03-2020,MISIONES,1
25-03-2020,SANTIAGO DEL ESTERO,1
25-03-2020,JUJUY,1
25-03-2020,LA PAMPA,1
25-03-2020,SALTA,1
25-03-2020,CHUBUT,2
25-03-2020,CORRIENTES,3
25-03-2020,RÍO NEGRO,4
25-03-2020,NEUQUÉN,4
25-03-2020,SAN LUIS,5
25-03-2020,MENDOZA,6
25-03-2020,ENTRE RÍOS,6
25-03-2020,SANTA CRUZ,7
25-03-2020,TUCUMÁN,9
25-03-2020,TIERRA DEL FUEGO,10
25-03-2020,SANTA FE,42
25-03-2020,CÓRDOBA,49
25-03-2020,CHACO,53
25-03-2020,BUENOS AIRES,131
25-03-2020,CABA,167
26-03-2020,MISIONES,1
26-03-2020,SANTIAGO DEL ESTERO,1
26-03-2020,LA PAMPA,1
26-03-2020,SALTA,1
26-03-2020,CHUBUT,2
26-03-2020,CORRIENTES,3
26-03-2020,JUJUY,3
26-03-2020,RÍO NEGRO,4
26-03-2020,ENTRE RÍOS,6
26-03-2020,SAN LUIS,6
26-03-2020,NEUQUÉN,7
26-03-2020,MENDOZA,7
26-03-2020,SANTA CRUZ,9
26-03-2020,TUCUMÁN,9
26-03-2020,TIERRA DEL FUEGO,13
26-03-2020,CÓRDOBA,52
26-03-2020,SANTA FE,54
26-03-2020,CHACO,55
26-03-2020,BUENOS AIRES,158
26-03-2020,CABA,197
27-03-2020,MISIONES,1
27-03-2020,LA PAMPA,1
27-03-2020,SALTA,1
27-03-2020,SANTIAGO DEL ESTERO,2
27-03-2020,CHUBUT,2
27-03-2020,JUJUY,3
27-03-2020,CORRIENTES,4
27-03-2020,SAN LUIS,6
27-03-2020,RÍO NEGRO,8
27-03-2020,MENDOZA,8
27-03-2020,SANTA CRUZ,9
27-03-2020,NEUQUÉN,10
27-03-2020,ENTRE RÍOS,10
27-03-2020,TIERRA DEL FUEGO,13
27-03-2020,TUCUMÁN,15
27-03-2020,CÓRDOBA,53
27-03-2020,CHACO,60
27-03-2020,SANTA FE,64
27-03-2020,BUENOS AIRES,193
27-03-2020,CABA,227
28-03-2020,MISIONES,1
28-03-2020,LA PAMPA,1
28-03-2020,SALTA,1
28-03-2020,SANTIAGO DEL ESTERO,2
28-03-2020,CHUBUT,2
28-03-2020,JUJUY,3
28-03-2020,SAN LUIS,6
28-03-2020,RÍO NEGRO,8
28-03-2020,CORRIENTES,8
28-03-2020,MENDOZA,9
28-03-2020,SANTA CRUZ,9
28-03-2020,ENTRE RÍOS,10
28-03-2020,NEUQUÉN,12
28-03-2020,TUCUMÁN,15
28-03-2020,TIERRA DEL FUEGO,17
28-03-2020,CÓRDOBA,54
28-03-2020,CHACO,65
28-03-2020,SANTA FE,77
28-03-2020,BUENOS AIRES,201
28-03-2020,CABA,245
29-03-2020,LA RIOJA,1
29-03-2020,SALTA,1
29-03-2020,SAN JUAN,1
29-03-2020,MISIONES,2
29-03-2020,SANTIAGO DEL ESTERO,2
29-03-2020,CHUBUT,2
29-03-2020,JUJUY,3
29-03-2020,LA PAMPA,3
29-03-2020,SAN LUIS,6
29-03-2020,RÍO NEGRO,8
29-03-2020,CORRIENTES,9
29-03-2020,SANTA CRUZ,9
29-03-2020,MENDOZA,10
29-03-2020,ENTRE RÍOS,10
29-03-2020,NEUQUÉN,12
29-03-2020,TUCUMÁN,15
29-03-2020,TIERRA DEL FUEGO,21
29-03-2020,CHACO,69
29-03-2020,CÓRDOBA,72
29-03-2020,SANTA FE,90
29-03-2020,BUENOS AIRES,217
29-03-2020,CABA,258
30-03-2020,LA RIOJA,1
30-03-2020,SALTA,1
30-03-2020,SAN JUAN,1
30-03-2020,MISIONES,2
30-03-2020,SANTIAGO DEL ESTERO,2
30-03-2020,CHUBUT,2
30-03-2020,JUJUY,3
30-03-2020,LA PAMPA,3
30-03-2020,SAN LUIS,6
30-03-2020,RÍO NEGRO,8
30-03-2020,SANTA CRUZ,9
30-03-2020,MENDOZA,13
30-03-2020,ENTRE RÍOS,13
30-03-2020,TUCUMÁN,15
30-03-2020,CORRIENTES,19
30-03-2020,NEUQUÉN,20
30-03-2020,TIERRA DEL FUEGO,32
30-03-2020,CÓRDOBA,80
30-03-2020,CHACO,81
30-03-2020,SANTA FE,111
30-03-2020,BUENOS AIRES,253
30-03-2020,CABA,292
31-03-2020,LA RIOJA,1
31-03-2020,SALTA,1
31-03-2020,SAN JUAN,1
31-03-2020,SANTIAGO DEL ESTERO,2
31-03-2020,CHUBUT,2
31-03-2020,MISIONES,3
31-03-2020,JUJUY,3
31-03-2020,LA PAMPA,3
31-03-2020,SAN LUIS,6
31-03-2020,RÍO NEGRO,9
31-03-2020,SANTA CRUZ,9
